"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","TestGetChatIdByCIDAndMIDCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","0","TestAssignAdminToDepartmentCorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","10","TestCreateCMChatCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","17","TestGetDepartmentCorrectClassic","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","1","TestFireModeratorFromDepartmentCorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","0","TestAssignAdminToDepartmentIncorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","1","TestFireAdminFromDepartmentIncorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","0","TestGetDepartmentCorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","12","TestCreateCRChatCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","0","TestAuthorizeIncorrectPasswordLondon","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","0","TestUpdateClientPasswordIncorrectLondon","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","0","TestGetPersonalDataIncorrectLondon","","2025-10-29","passed","2025-10-29","","PersonalDataSuite","",""
"","0","TestCreateLessonIncorrectLondon","","2025-10-29","passed","2025-10-29","","LessonSuite","",""
"","14","TestGetMessagesCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","0","TestCreateClientCorrectLondon","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","12","TestFireAdminFromDepartmentIncorrectClassic","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","1","TestUpdateClientPersonalDataCorrectLondon","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","10","TestGetPersonalDataClassic","","2025-10-29","passed","2025-10-29","","PersonalDataSuite","",""
"","10","TestCheckLoginCorrectClassic","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","9","TestCheckLoginIncorrectClassic","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","11","TestAuthorizeIncorrectPasswordClassic","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","9","TestGetClientDataIncorrectClassic","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","16","TestGetChatListByModeratorIDCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","10","TestAuthorizeCorrectClassic","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","16","TestGetLessonsCorrectClassic","","2025-10-29","passed","2025-10-29","","LessonSuite","",""
"","15","TestCreateDepartmentCorrectClassic","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","0","TestFireAdminFromDepartmentCorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","9","TestGetPersonalDataIncorrectClassic","","2025-10-29","passed","2025-10-29","","PersonalDataSuite","",""
"","0","TestCheckLoginCorrectLondon","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","15","TestAssignAdminToDepartmentCorrectClassic","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","0","TestCheckLoginIncorrectLondon","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","10","TestGetChatCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","0","TestAuthorizeCorrectLondon","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","0","TestGetDepartmentUsersIDsIncorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","0","TestGetLessonsCorrectLondon","","2025-10-29","passed","2025-10-29","","LessonSuite","",""
"","16","TestGetClientDataCorrectClassic","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","13","TestGetChatIdByMIDAndRIDCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","13","TestUpdateClientPasswordIncorrectClassic","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","0","TestUpdateClientPersonalDataIncorrectLondon","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","0","TestGetPersonalDataLondon","","2025-10-29","passed","2025-10-29","","PersonalDataSuite","",""
"","1","TestCreateLessonCorrectLondon","","2025-10-29","passed","2025-10-29","","LessonSuite","",""
"","12","TestGetChatListByRepetitorIDCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","15","TestGetDepartmentsByHeadIDCorrectClassic","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","10","TestGetChatIdByCIDAndRIDCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","0","TestAuthorizeIncorrectLoginLondon","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","14","TestUpdateClientPasswordCorrectClassic","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","0","TestUpdateClientPasswordCorrectLondon","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
