batch_size,latency_ms
1,1
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,2
1,3
1,2
1,2
1,2
1,2
1,3
1,2
1,2
1,2
1,2
1,2
1,1
1,2
1,2
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
80,9
80,10
80,26
80,21
80,18
80,21
80,3
80,16
80,17
80,29
80,15
80,12
80,5
80,10
80,13
80,55
80,49
80,10
80,9
80,11
80,1
80,10
80,2
80,19
80,22
80,20
80,12
80,21
80,4
80,2
80,20
80,2
80,20
80,12
80,1
80,21
80,1
80,20
80,2
80,15
80,11
80,58
80,29
80,18
80,5
80,10
80,11
80,56
80,10
80,19
80,12
80,1
80,20
80,11
80,12
80,21
80,13
80,11
80,11
80,11
80,11
80,5
80,20
80,13
80,2
80,22
80,20
80,20
80,21
80,12
80,13
80,20
80,21
80,19
80,11
80,38
80,21
80,12
80,13
80,12
80,21
80,2
80,20
80,2
80,1
80,20
80,29
80,12
80,11
80,12
80,2
80,21
80,15
80,2
80,1
80,24
80,33
80,34
80,14
80,13
80,3
80,32
80,14
80,31
80,15
80,1
80,14
80,2
80,14
80,22
80,14
80,15
80,27
80,24
80,33
80,34
80,15
80,3
80,16
80,3
80,18
80,29
80,2
80,18
80,17
80,3
80,28
80,17
80,45
80,27
80,31
80,19
80,29
80,30
80,20
80,31
80,29
80,34
80,5
80,3
80,31
80,30
80,21
80,20
80,30
80,30
80,21
80,20
80,20
80,30
80,20
80,19
80,1
80,2
80,39
80,27
80,28
80,17
80,15
80,37
80,1
80,17
80,2
80,13
80,13
80,13
80,13
80,6
80,40
80,13
80,41
80,15
80,12
80,13
80,13
80,14
80,29
80,40
80,10
80,27
80,10
80,11
80,27
80,27
80,27
80,10
80,22
80,28
80,27
80,27
80,25
80,3
80,22
80,38
80,2
80,23
80,10
80,23
80,19
80,3
80,18
80,39
80,21
80,12
80,13
80,3
80,12
80,10
80,36
80,38
80,11
80,48
80,38
80,11
80,37
80,20
80,48
80,36
80,34
80,38
80,32
80,20
80,35
80,12
80,33
80,22
80,22
80,11
80,12
80,12
80,3
80,28
80,3
80,3
80,15
80,24
80,21
80,21
80,12
80,12
80,22
80,50
80,22
80,25
80,31
80,29
80,32
80,30
80,14
80,14
80,24
80,16
80,25
80,16
80,34
80,5
80,73
80,36
80,32
80,26
80,49
80,26
80,26
80,16
80,16
80,26
80,26
80,16
80,47
80,49
80,27
80,41
80,26
80,25
80,35
80,2
80,2
80,2
80,2
80,27
80,25
80,18
80,16
80,2
80,17
80,2
80,67
80,3
80,17
80,17
80,18
80,36
80,16
80,2
80,37
80,39
80,18
80,18
80,17
80,19
80,4
80,14
80,14
80,14
80,28
80,29
80,38
80,30
80,28
80,53
80,16
80,34
80,29
80,15
80,29
80,53
80,17
80,2
80,30
80,20
80,14
80,28
80,2
80,14
80,29
80,56
80,16
80,2
80,2
80,16
80,33
80,27
80,15
80,3
80,30
80,40
80,15
80,31
80,15
80,31
80,28
80,13
80,15
80,57
80,14
80,30
80,15
80,28
80,29
80,20
80,2
80,15
80,31
80,16
80,41
80,44
80,44
80,15
80,32
80,17
80,17
80,45
80,43
80,15
80,28
80,2
80,29
80,16
80,29
80,17
80,53
80,31
80,45
80,16
80,2
80,2
80,17
80,29
80,17
80,29
80,18
80,16
80,16
80,17
80,14
80,17
80,28
80,15
80,42
80,15
80,16
80,16
80,39
80,16
80,27
80,29
80,2
80,13
80,55
80,27
80,42
80,13
80,2
80,14
80,12
80,3
80,52
80,12
80,3
80,2
80,12
80,28
80,14
80,33
80,30
80,12
80,38
80,12
80,27
80,54
80,31
80,40
80,29
80,36
80,26
80,44
80,35
80,26
80,30
80,3
80,1
80,15
80,24
80,15
80,16
80,14
80,27
80,15
80,25
80,26
80,14
80,38
80,26
80,3
80,14
80,24
80,27
80,53
80,13
80,41
80,28
80,32
80,14
80,2
80,24
80,2
80,14
80,13
80,39
80,12
80,23
80,22
80,2
80,35
80,11
80,36
80,11
80,33
80,1
80,2
80,24
80,3
80,40
80,23
80,41
80,3
80,38
80,39
80,12
80,14
80,23
80,24
80,24
80,12
80,24
80,33
80,23
80,2
80,17
80,35
80,23
80,45
80,13
80,13
80,23
80,46
80,14
80,43
80,22
80,15
80,26
80,23
80,34
80,15
80,12
80,14
80,34
80,4
80,4
80,16
80,37
80,46
80,73
80,39
80,23
80,27
80,13
80,22
80,24
80,47
80,14
80,36
80,37
80,45
80,33
80,53
80,23
80,33
80,24
80,2
80,12
80,5
80,15
80,2
80,32
80,13
80,33
80,31
80,13
80,2
80,20
80,20
80,24
80,10
80,11
80,24
80,11
80,11
80,14
80,2
80,23
80,21
80,4
80,52
80,2
80,22
80,14
80,12
80,12
80,41
80,12
80,24
80,12
80,26
80,24
80,5
80,22
80,4
80,6
80,2
80,13
80,43
80,46
80,2
80,23
80,35
80,77
80,13
80,13
80,2
80,25
80,42
80,13
80,21
80,13
80,2
80,22
80,15
80,43
80,33
80,24
80,2
80,23
80,24
80,25
80,55
80,24
80,45
80,23
80,23
80,16
80,16
80,27
80,26
80,26
80,37
80,34
80,17
80,45
80,48
80,17
80,16
80,26
80,2
80,17
80,17
80,36
80,36
80,27
80,16
80,17
80,17
80,40
80,27
80,4
80,38
80,19
80,28
80,38
80,18
80,29
80,48
80,50
80,29
80,18
80,30
80,37
80,40
80,3
80,31
80,39
80,50
80,1
80,19
80,4
80,2
80,20
80,19
80,21
80,19
80,22
80,18
80,3
80,38
80,18
80,17
80,48
80,31
80,19
80,14
80,13
80,13
80,14
80,28
80,14
80,13
80,3
80,2
80,4
80,67
80,13
80,2
80,11
80,14
80,3
80,2
80,14
80,12
80,30
80,4
80,60
80,28
80,28
80,29
80,12
80,12
80,25
80,2
80,42
80,30
80,28
80,4
80,28
80,13
80,5
80,28
80,41
80,4
80,14
80,1
80,28
80,27
80,28
80,27
80,29
80,29
80,28
80,41
80,15
80,41
80,15
80,17
80,22
80,14
80,15
80,44
80,27
80,23
80,23
80,16
80,17
80,27
80,16
80,27
80,4
80,29
80,29
80,54
80,41
80,15
80,39
80,16
80,15
80,39
80,16
80,40
80,2
80,2
80,25
80,53
80,1
80,35
80,11
80,14
80,14
80,14
80,36
80,3
80,1
80,13
80,39
80,2
80,44
80,14
80,2
80,5
80,37
80,34
80,15
80,35
80,14
80,2
80,26
80,38
80,51
80,17
80,1
80,2
80,13
80,1
80,28
80,26
80,28
80,37
80,1
80,15
80,38
80,27
80,16
80,40
80,25
80,49
80,15
80,27
80,26
80,14
80,3
80,1
80,49
80,17
80,30
80,17
80,38
80,26
80,3
80,26
80,2
80,2
80,14
80,16
80,14
80,1
80,2
80,64
80,17
80,27
80,26
80,2
80,16
80,26
80,14
80,28
80,26
80,14
80,13
80,13
80,1
80,1
80,49
80,28
80,28
80,37
80,15
80,1
80,14
80,40
80,38
80,3
80,2
80,42
80,15
80,3
80,17
80,15
80,29
80,2
80,32
80,15
80,28
80,15
80,31
80,40
80,12
80,36
80,13
80,5
80,55
80,28
80,39
80,28
80,17
80,11
80,4
80,17
80,25
80,12
80,24
80,48
80,12
80,62
80,36
80,62
80,40
80,37
80,28
80,10
80,13
80,49
80,43
80,3
80,11
80,50
80,12
80,11
80,12
80,12
80,14
80,52
80,36
80,11
80,19
80,51
80,34
80,37
80,37
80,33
80,22
80,22
80,25
80,24
80,29
80,29
80,17
80,24
80,43
80,4
80,38
80,2
80,26
80,24
80,42
80,29
80,2
80,2
80,17
80,30
80,37
80,24
80,50
80,3
80,16
80,17
80,53
80,27
80,61
80,4
80,18
80,18
80,38
80,17
80,18
80,40
80,25
80,17
80,15
80,15
80,14
80,26
80,37
80,15
80,27
80,36
80,16
80,2
80,51
80,2
80,11
80,9
80,26
80,26
80,10
80,11
80,10
80,3
80,10
80,10
80,55
80,7
80,45
80,12
80,32
80,27
80,24
80,23
80,12
80,24
80,11
80,27
80,12
80,12
80,27
80,42
80,31
80,29
80,26
80,25
80,25
80,13
80,23
80,24
80,35
80,20
80,25
80,34
80,35
80,32
80,23
80,2
80,14
80,11
80,34
80,21
80,31
80,35
80,20
80,1
80,12
80,42
80,31
80,34
80,15
80,5
80,11
80,11
80,4
80,9
80,33
80,16
80,12
80,23
80,36
80,12
80,20
80,32
80,24
80,32
80,5
80,54
80,12
80,29
80,10
80,20
80,63
80,20
80,30
80,21
80,41
80,29
80,42
80,14
80,18
80,12
80,23
80,23
80,33
80,21
80,31
80,4
80,12
80,14
80,42
80,22
80,40
80,38
80,23
80,41
80,2
80,22
80,23
80,23
80,2
80,24
80,31
80,28
80,33
80,2
80,12
80,23
80,13
80,13
80,13
80,24
80,40
80,13
80,32
80,14
80,21
80,22
80,1
80,15
80,2
80,14
80,2
80,53
80,22
80,12
80,31
80,12
80,2
80,12
80,2
80,32
80,2
80,20
80,33
80,40
80,14
80,51
80,2
80,2
80,23
80,23
80,2
80,2
80,4
80,43
80,24
80,24
80,16
80,44
80,14
80,13
80,15
80,3
80,16
80,24
80,2
80,2
80,2
80,25
80,2
80,2
80,33
80,38
80,46
80,24
80,18
80,27
80,26
80,42
80,15
80,24
80,16
80,1
80,33
80,15
80,25
80,24
80,36
80,27
80,27
80,14
80,42
80,35
80,23
80,22
80,12
80,15
80,3
80,31
80,36
80,1
80,2
80,26
80,25
80,34
80,24
80,24
80,2
80,10
80,12
80,12
80,36
80,26
80,2
80,50
80,2
80,33
80,11
80,2
80,24
80,47
80,13
80,45
80,35
80,26
80,13
80,2
80,22
80,53
80,25
80,35
80,23
80,14
80,2
80,29
80,1
80,2
80,24
80,25
80,37
80,25
80,15
80,23
80,14
80,53
80,22
80,13
80,13
80,35
80,3
80,22
80,14
80,46
80,13
80,13
80,38
80,17
80,23
80,24
80,13
80,24
80,3
80,38
80,36
80,2
80,14
80,27
80,24
80,45
80,23
80,24
80,12
80,47
80,25
80,14
80,46
80,16
80,2
80,13
80,14
80,2
80,15
80,2
80,14
80,3
80,2
80,14
80,48
80,69
80,27
80,15
80,27
80,16
80,16
80,40
80,3
80,28
80,30
80,4
80,37
80,17
80,4
80,17
80,41
80,41
80,30
80,38
80,17
80,39
80,17
80,2
80,17
80,29
80,18
80,3
80,18
80,38
80,18
80,2
80,31
80,2
80,49
80,2
80,30
80,21
80,30
80,30
80,31
80,30
80,40
80,2
80,41
80,32
80,20
80,20
80,54
80,4
80,19
80,19
80,19
80,19
80,20
80,17
80,30
80,18
80,75
80,39
80,2
80,17
80,31
80,16
80,79
80,2
80,18
80,2
80,30
80,30
80,16
80,16
80,16
80,16
80,2
80,30
80,16
80,17
80,17
80,33
80,29
80,30
80,12
80,12
80,39
80,44
80,62
80,28
80,14
80,42
80,5
80,13
80,4
80,25
80,12
80,26
80,27
80,30
80,12
80,13
80,2
80,24
80,24
80,11
80,2
80,23
80,26
80,21
80,36
80,22
80,20
80,37
80,11
80,21
80,62
80,14
80,6
80,22
80,21
80,3
80,12
80,2
80,22
80,23
80,13
80,23
80,21
80,29
80,22
80,1
80,2
80,2
80,13
80,12
80,13
80,22
80,21
80,35
80,34
80,35
80,22
80,13
80,20
80,20
80,22
80,34
80,1
80,34
80,81
80,22
80,3
80,2
80,14
80,33
80,15
80,13
80,33
80,48
80,23
80,34
80,13
80,21
80,22
80,22
80,22
80,38
80,31
80,30
80,12
80,14
80,23
80,11
80,21
80,3
80,12
80,45
80,2
80,43
80,31
80,12
80,13
80,25
80,3
80,46
80,59
80,24
80,13
80,25
80,23
80,69
80,25
80,14
80,14
80,62
80,43
80,1
80,23
80,13
80,34
80,60
80,24
80,2
80,15
80,15
80,29
80,25
80,25
80,26
80,35
80,25
80,22
80,33
80,40
80,15
80,43
80,13
80,16
80,16
80,39
80,16
80,35
80,23
80,15
80,23
80,23
80,14
80,25
80,16
80,14
80,14
80,2
80,14
80,35
80,36
80,1
80,14
80,2
80,15
80,2
80,25
80,53
80,27
80,27
80,2
80,38
80,3
80,27
80,36
80,3
80,16
80,16
80,17
80,15
80,37
80,73
80,2
80,2
80,31
80,30
80,50
80,17
80,58
80,17
80,4
80,5
80,38
80,41
80,5
80,19
80,39
80,5
80,30
80,19
80,16
80,29
80,16
80,16
80,30
80,17
80,16
80,16
80,38
80,2
80,2
80,2
80,3
80,1
80,16
80,15
80,28
80,20
80,39
80,12
80,27
80,28
80,29
80,2
80,1
80,40
80,2
80,16
80,2
80,39
80,28
80,17
80,51
80,30
80,27
80,14
80,30
80,12
80,27
80,28
80,13
80,2
80,14
80,41
