batch_size,latency_ms
65,14
65,12
65,7
65,5
65,3
65,3
65,15
65,9
65,7
65,10
65,11
65,17
65,17
65,4
65,17
65,2
65,8
65,2
65,2
65,38
65,9
65,10
65,6
65,7
65,10
65,8
65,15
65,12
65,9
65,15
65,7
65,10
65,8
65,11
65,12
65,5
65,7
65,5
65,5
65,8
65,1
65,8
65,2
65,7
65,2
65,4
65,10
65,12
65,14
65,9
65,8
65,7
65,10
65,3
65,2
65,17
65,52
65,30
65,9
65,5
65,7
65,15
65,4
65,2
65,19
65,15
65,16
65,10
65,41
65,11
65,11
65,8
65,7
65,7
65,20
65,18
65,5
65,21
65,52
65,8
65,12
65,5
65,8
65,5
65,7
65,7
65,12
65,5
65,10
65,17
65,8
65,7
65,8
65,32
65,15
65,12
65,41
65,7
65,11
65,3
65,42
65,41
65,12
65,22
65,35
65,5
65,15
65,3
65,15
65,3
65,48
65,4
65,7
65,5
65,4
65,8
65,6
65,7
65,8
65,6
65,4
65,37
65,11
65,6
65,5
65,4
65,9
65,42
65,6
65,6
65,6
65,3
65,12
65,7
65,3
65,5
65,5
65,12
65,8
65,2
65,2
65,6
65,43
65,13
65,10
65,5
65,6
65,5
65,4
65,3
65,8
65,10
65,9
65,7
65,12
65,3
65,2
65,16
65,7
65,11
65,11
65,4
65,10
65,13
65,9
65,14
65,3
65,17
65,6
65,12
65,7
65,10
65,4
65,6
65,15
65,63
65,13
65,8
65,13
65,3
65,14
65,6
65,9
65,7
65,15
65,16
65,9
65,11
65,6
65,3
65,7
65,8
65,55
65,3
65,16
65,7
65,9
65,68
65,10
65,13
65,8
65,19
65,46
65,11
65,4
65,5
65,5
65,4
65,45
65,15
65,46
65,4
65,1
65,9
65,47
65,4
65,5
65,14
65,6
65,7
65,3
65,8
65,48
65,25
65,4
65,7
65,18
65,5
65,6
65,50
65,12
65,3
65,3
65,6
65,10
65,10
65,11
65,11
65,11
65,8
65,5
65,9
65,8
65,9
65,11
65,7
65,6
65,6
65,12
65,56
65,5
65,10
65,6
65,9
65,8
65,10
65,9
65,4
65,7
65,62
65,8
65,70
65,11
65,7
65,12
65,10
65,12
65,4
65,4
65,4
65,9
65,61
65,4
65,6
65,8
65,3
65,9
65,7
65,6
65,10
65,21
65,10
65,8
65,14
65,7
65,14
65,11
65,15
65,13
65,18
65,13
65,18
65,83
65,19
65,20
65,15
65,15
65,12
65,11
65,4
65,7
65,8
65,12
65,76
65,78
65,18
65,9
65,16
65,21
65,46
65,90
65,11
65,8
65,7
65,87
65,5
65,17
65,14
65,23
65,23
65,83
65,2
65,3
65,24
65,59
65,56
65,11
65,33
65,14
65,3
65,19
65,11
65,4
65,14
65,18
65,25
65,90
